scrip,type,date,price,quantity
APOLLOHOSP,Buy,08/11/12,862.00,3
TTKPRESTIG,Buy,08/11/12,3452.88,2
ORIENTPPR,Buy,08/11/12,80.10,40
NAVNETEDUL,Sell,09/11/12,56.75,135
TITAN,Buy,09/11/12,289.05,33
JUBLFOOD,Sell,30/11/12,1244.60,10
SPICEMOBI,Sell,30/11/12,39.29,108
MINDTREE,Sell,30/11/12,698.50,15
UNIONBANK,Buy,03/12/12,244.28,28
INDUSINDBK,Buy,03/12/12,414.67,15
TTKPRESTIG,Buy,03/12/12,3556.00,3
JKCEMENT,Buy,03/12/12,304.00,10
TITAN,Buy,11/12/12,299.11,15
CUB,Buy,11/12/12,58.50,80
UNIONBANK,Buy,11/12/12,264.30,20
APOLLOHOSP,Buy,11/12/12,810.00,5
STAR,Buy,11/12/12,1129.85,5
WOCKPHARMA,Buy,11/12/12,1644.50,3
TREEHOUSE,Buy,13/12/12,275.45,20
ORIENTPPR,Buy,13/12/12,85.40,30
RAMCOCEM,Buy,19/12/12,218.75,23
IDFC,Buy,19/12/12,177.85,28
STAR,Buy,20/12/12,1161.05,4
GODREJCP,Buy,27/12/12,754.10,7
RAMCOCEM,Buy,27/12/12,242.80,23
PAGEIND,Buy,28/12/12,3346.67,3
TATAMOTORS,Sell,08/04/13,260.65,100
MRF,Sell,08/04/13,11959.00,1
CUB,Sell,12/04/13,53.90,580
TCS,Sell,12/04/13,1509.40,5
ASIANPAINT,Sell,12/04/13,4694.45,2
BERGEPAINT,Sell,12/04/13,192.20,115
APOLLOHOSP,Sell,12/04/13,819.81,36
WOCKPHARMA,Sell,12/04/13,1808.85,12
SUNPHARMA,Sell,12/04/13,874.26,10
LUPIN,Sell,12/04/13,660.02,20
GLENMARK,Sell,12/04/13,495.00,30
TITAN,Sell,12/04/13,250.45,163
HDFCBANK,Sell,06/05/13,672.90,63
ICICIBANK,Sell,06/05/13,1114.90,36
AXISBANK,Sell,06/05/13,1455.35,28
AXISCADES,Sell,09/05/13,46.09,275
SPANCO,Sell,09/05/13,8.91,230
ORIENTBANK,Sell,09/05/13,257.05,52
PAGEIND,Sell,09/05/13,3803.02,3
FEDERALBNK,Sell,09/05/13,448.45,45
TREEHOUSE,Sell,09/05/13,284.35,20
JUBLFOOD,Sell,09/05/13,1104.00,3
ORCHIDPHAR,Sell,10/05/13,67.10,105
INDUSINDBK,Sell,10/05/13,499.30,15
GODREJCP,Sell,16/05/13,879.23,14
HINDUNILVR,Sell,16/05/13,582.65,20
ITC,Sell,16/05/13,334.70,35
SHREECEM,Sell,05/06/13,4699.90,3
BATAINDIA,Sell,18/07/13,935.50,6
MCLEODRUSS,Sell,29/08/13,260.00,15
IDFC,Sell,29/08/13,80.30,28
UNIONBANK,Sell,29/08/13,98.15,48
N100,Buy,25/10/13,205.34,485
DIVISLAB,Sell,06/12/13,1139.95,5
TTKPRESTIG,Sell,06/12/13,3556.05,6
STAR,Sell,06/12/13,863.93,21
VIPIND,Sell,06/12/13,59.10,1
ORIENTPPR,Sell,06/12/13,11.50,170
532201,Sell,06/12/13,185.85,25
JKCEMENT,Sell,06/12/13,200.05,50
JKLAKSHMI,Sell,06/12/13,70.44,120
RAMCOCEM,Sell,06/12/13,173.13,46
ULTRACEMCO,Sell,06/12/13,1875.65,3
N100,Sell,27/03/14,215.27,485
SBIN,Buy,16/05/14,2477.05,20
SBIN,Buy,16/05/14,2500.00,1
ICICIBANK,Buy,16/05/14,1583.45,30
ICICIBANK,Buy,16/05/14,1541.61,30
SBIN,Buy,16/05/14,2420.50,30
ICICIBANK,Buy,16/05/14,1509.00,80
SBIN,Buy,16/05/14,2432.72,80
ICICIBANK,Sell,16/05/14,1493.04,140
SBIN,Sell,16/05/14,2443.05,131
EICHERMOT,Buy,12/05/15,16699.95,5
STAR,Buy,18/05/15,1087.08,91
NATCOPHARM,Buy,18/05/15,2457.65,46
NATCOPHARM,Sell,03/06/15,2042.01,46
EICHERMOT,Buy,03/06/15,18145.95,5
PAGEIND,Buy,03/06/15,15398.86,6
EICHERMOT,Buy,04/06/15,17432.92,5
EICHERMOT,Buy,04/06/15,17330.00,1
PERSISTENT,Buy,04/06/15,769.02,125
ICICIBANK,Buy,29/06/15,302.80,753
YESBANK,Buy,29/06/15,833.50,272
ICICIBANK,Sell,29/06/15,302.40,753
YESBANK,Sell,29/06/15,831.35,272
CANFINHOME,Buy,29/06/15,732.88,67
GICHSGFIN,Buy,29/06/15,217.84,228
LICHSGFIN,Buy,29/06/15,452.45,109
JKCEMENT,Buy,29/06/15,656.58,75
PAGEIND,Buy,29/06/15,14945.00,2
LICHSGFIN,Sell,21/10/15,483.40,109
CANFINHOME,Buy,21/10/15,995.98,52
GICHSGFIN,Sell,21/10/15,201.22,228
CANFINHOME,Buy,21/10/15,997.00,47
BAJFINANCE,Buy,21/10/15,5350.00,2
WOCKPHARMA,Buy,21/10/15,1562.00,7
BAJAJFINSV,Buy,21/10/15,1845.00,4
SIMPLEX,Buy,21/10/15,25.20,25
FINCABLES,Buy,21/10/15,251.00,1
FINCABLES,Buy,21/10/15,251.00,11
VINDHYATEL,Buy,21/10/15,854.00,10
KANSAINER,Buy,21/10/15,257.00,20
PRATIBHA,Buy,21/10/15,44.85,50
PRATIBHA,Buy,21/10/15,44.90,100
PRATIBHA,Buy,21/10/15,44.95,200
BERGEPAINT,Buy,21/10/15,224.00,22
AVANTIFEED,Buy,21/10/15,2950.00,3
NCC,Buy,21/10/15,82.25,85
STRTECH,Buy,21/10/15,100.10,40
TATAMOTORS,Buy,21/10/15,385.00,12
SIMPLEXINF,Buy,21/10/15,341.00,3
SIMPLEXINF,Buy,21/10/15,345.00,20
SIMPLEXINF,Buy,21/10/15,345.00,1
BERGEPAINT,Buy,21/10/15,222.50,1
JKCEMENT,Sell,28/12/15,609.11,75
CANFINHOME,Buy,28/12/15,1094.54,41
INDIGO,Buy,20/01/16,1204.65,85
VRLLOG,Buy,20/01/16,377.50,98
VRLLOG,Buy,20/01/16,377.50,19
VRLLOG,Buy,20/01/16,377.50,15
N100,Buy,20/01/16,289.90,10
N100,Buy,20/01/16,289.90,5
N100,Buy,20/01/16,289.90,10
N100,Buy,20/01/16,289.90,5
N100,Buy,20/01/16,289.90,10
N100,Buy,20/01/16,289.90,5
N100,Buy,20/01/16,289.90,10
N100,Buy,20/01/16,289.90,5
N100,Buy,20/01/16,289.90,10
N100,Buy,20/01/16,289.90,5
N100,Buy,20/01/16,289.90,10
N100,Buy,20/01/16,289.90,5
N100,Buy,20/01/16,289.90,10
N100,Buy,20/01/16,289.90,5
N100,Buy,20/01/16,289.90,10
N100,Buy,20/01/16,289.90,5
N100,Buy,20/01/16,289.90,10
N100,Buy,20/01/16,290.99,70
N100,Buy,20/01/16,291.00,10
N100,Buy,20/01/16,291.00,100
N100,Buy,20/01/16,292.00,13
N100,Buy,20/01/16,289.90,7
N100,Buy,20/01/16,289.90,5
TATAMOTORS,Buy,25/01/16,339.00,295
INDIGO,Buy,25/01/16,894.20,112
N100,Buy,01/02/16,314.10,200
N100,Buy,01/02/16,315.80,200
N100,Buy,01/02/16,315.80,200
N100,Buy,01/02/16,316.00,1
N100,Buy,01/02/16,316.88,100
N100,Buy,01/02/16,316.88,5
N100,Buy,01/02/16,318.50,200
N100,Buy,01/02/16,319.00,211
N100,Buy,01/02/16,319.10,200
N100,Buy,01/02/16,319.60,200
N100,Buy,01/02/16,320.70,200
N100,Buy,01/02/16,320.70,200
N100,Buy,01/02/16,320.88,100
N100,Buy,01/02/16,320.88,5
N100,Buy,01/02/16,322.00,5
N100,Buy,01/02/16,322.60,151
N100,Buy,01/02/16,303.88,150
N100,Buy,01/02/16,303.89,33
N100,Buy,01/02/16,305.10,1
N100,Buy,01/02/16,306.00,1
N100,Buy,01/02/16,306.00,1
N100,Buy,01/02/16,306.90,1
N100,Buy,01/02/16,307.88,1
N100,Buy,01/02/16,307.88,1
N100,Buy,01/02/16,309.10,200
N100,Buy,01/02/16,309.90,1
N100,Buy,01/02/16,310.00,1
N100,Buy,01/02/16,310.90,200
N100,Buy,01/02/16,310.90,200
N100,Buy,01/02/16,311.88,75
N100,Buy,01/02/16,311.88,5
N100,Buy,01/02/16,313.00,1
N100,Buy,01/02/16,313.15,200
BAJAJFINSV,Sell,04/02/16,1884.10,4
BAJFINANCE,Buy,04/02/16,6280.00,4
KANSAINER,Sell,04/02/16,267.20,10
KANSAINER,Sell,04/02/16,267.15,10
FINCABLES,Sell,04/02/16,228.50,5
FINCABLES,Sell,04/02/16,228.30,7
BERGEPAINT,Buy,04/02/16,266.30,35
TATAMOTORS,Buy,10/02/16,294.00,170
PSUBNKBEES,Buy,21/03/16,271.00,1
PSUBNKBEES,Buy,21/03/16,271.72,59
N100,Buy,21/03/16,292.98,1
TATAMOTORS,Buy,01/04/16,381.00,133
EMPEESUG,Buy,06/04/16,7.94,1250
COFFEEDAY,Sell,06/04/16,226.76,585
PAGEIND,Sell,06/04/16,12058.16,8
INDIGO,Buy,06/04/16,981.79,75
PERSISTENT,Buy,06/04/16,740.61,65
TATAMOTORS,Buy,06/04/16,375.89,265
SWARAJENG,Buy,18/04/16,1103.40,1
SWARAJENG,Buy,18/04/16,1103.40,2
SWARAJENG,Buy,18/04/16,1103.35,15
SWARAJENG,Buy,18/04/16,1103.55,2
SWARAJENG,Buy,18/04/16,1105.00,5
SWARAJENG,Buy,18/04/16,1105.00,16
SWARAJENG,Buy,18/04/16,1104.00,5
VSTTILLERS,Buy,18/04/16,1797.00,28
SRTRANSFIN,Buy,18/04/16,1000.75,48
SRTRANSFIN,Buy,18/04/16,1000.75,2
GICHSGFIN,Buy,18/04/16,266.95,29
GICHSGFIN,Buy,18/04/16,266.95,8
GICHSGFIN,Buy,18/04/16,266.85,3
GICHSGFIN,Buy,18/04/16,266.80,22
GICHSGFIN,Buy,18/04/16,266.60,21
GICHSGFIN,Buy,18/04/16,266.95,30
GICHSGFIN,Buy,18/04/16,267.00,40
GICHSGFIN,Buy,18/04/16,266.40,2
GICHSGFIN,Buy,18/04/16,266.55,25
NCC,Sell,22/04/16,73.80,85
PRATIBHA,Sell,22/04/16,34.50,100
PRATIBHA,Sell,22/04/16,34.50,100
PRATIBHA,Sell,22/04/16,34.45,81
PRATIBHA,Sell,22/04/16,34.45,69
SIMPLEX,Sell,22/04/16,31.00,25
SIMPLEXINF,Sell,22/04/16,255.00,24
STRTECH,Sell,22/04/16,88.35,40
